axis_id,threshold_method,ert_threshold,silhouette,balance,coherence,n_I,n_II,n_III,n_IV,n_total,n_empty_quads,has_all_quads,composite
sd__raw,otsu,167.2676,0.4572161387594461,0.9129008649846284,1,19,23,7,8,57,0,TRUE,0.7882508648119632
sd__lutz_global,otsu,-3.2264476190476192,0.4572161387594461,0.9129008649846284,1,19,23,7,8,57,0,TRUE,0.7882508648119632
PC2__pca_species_norm,otsu,-0.36512736182016803,0.4696990453123549,0.8952854064776838,1,17,25,10,5,57,0,TRUE,0.7882160174787451
PC2__pca_species_norm,gmm,-0.43498849942278217,0.4696990453123549,0.8952854064776838,1,17,25,10,5,57,0,TRUE,0.7882160174787451
gini_x_absradgrad__product,median,52.5018,0.45926313143681385,0.9095007284679221,1,23,19,9,6,57,0,TRUE,0.7881172781198653
neg_mean__species_znorm,gmm,-0.0577262571363929,0.46999163888754913,0.8936396973211599,1,22,20,11,4,57,0,TRUE,0.7879069979409321
mean__species_znorm,gmm,0.056319384895633484,0.46999163888754913,0.8936396973211599,1,20,22,4,11,57,0,TRUE,0.7879069979409321
neg_mean__lutz_species,otsu,7.965354545454577,0.46996420776908915,0.8936396973211599,1,20,22,11,4,57,0,TRUE,0.7878973970494711
mean__lutz_species,otsu,-7.965354545454577,0.46996420776908915,0.8936396973211599,1,22,20,4,11,57,0,TRUE,0.7878973970494711
entropy__species_site_znorm,otsu,-0.1452258493400496,0.48253008671981895,0.8748851110321093,1,14,28,5,10,57,0,TRUE,0.7876068081099639
sd__raw,mean,170.75666666666666,0.4531285289920682,0.9147121828528005,1,20,22,7,8,57,0,TRUE,0.787273030860424
sd__lutz_global,mean,0.2626190476190496,0.4531285289920682,0.9147121828528005,1,20,22,7,8,57,0,TRUE,0.787273030860424
cv_x_negmean__product,median,-172.04394299999998,0.45310360783797454,0.9147121828528005,1,22,20,8,7,57,0,TRUE,0.7872643084564912
cv_x_negmean__product,mean,-170.7551559122807,0.45310360783797454,0.9147121828528005,1,22,20,8,7,57,0,TRUE,0.7872643084564912
cv_x_negmean__product,otsu,-172.04394299999998,0.45310360783797454,0.9147121828528005,1,22,20,8,7,57,0,TRUE,0.7872643084564912
entropy__species_znorm,mean,-2.118188665403259e-15,0.4833903489553216,0.8722426448231455,1,15,27,4,11,57,0,TRUE,0.7872472833401489
sd__lutz_species,mean,1.357348484848488,0.4546770309357322,0.9113120463360942,1,22,20,6,9,57,0,TRUE,0.7869649724115297
sd__lutz_species,otsu,3.7769515151515494,0.4546770309357322,0.9113120463360942,1,22,20,6,9,57,0,TRUE,0.7869649724115297
sd_x_abscma__product_species_znorm,median,0.01348360513698114,0.4513885968535859,0.9147121828528005,1,22,20,8,7,57,0,TRUE,0.7866640546119552
sd_x_abscma__product_species_znorm,otsu,0.01348360513698114,0.4513885968535859,0.9147121828528005,1,22,20,8,7,57,0,TRUE,0.7866640546119552
neg_median__lutz_species,gmm,20.019737951721403,0.4664021198650889,0.8936396973211599,1,20,22,11,4,57,0,TRUE,0.786650666283071
median__lutz_species,gmm,-20.59747866908353,0.4664021198650889,0.8936396973211599,1,22,20,4,11,57,0,TRUE,0.786650666283071
neg_median__raw,otsu,-392.03,0.46732597455847813,0.8897752343193986,1,16,26,10,5,57,0,TRUE,0.7860078996753169
median__raw,otsu,388.1804000000001,0.46732597455847813,0.8897752343193986,1,26,16,5,10,57,0,TRUE,0.7860078996753169
neg_median__lutz_global,otsu,-15.462142857142794,0.46732597455847813,0.8897752343193986,1,16,26,10,5,57,0,TRUE,0.7860078996753169
median__lutz_global,otsu,11.612542857142884,0.46732597455847813,0.8897752343193986,1,26,16,5,10,57,0,TRUE,0.7860078996753169
sd__site_znorm,median,-0.03201389611893667,0.4485861323171076,0.915315040318238,1,21,21,7,8,57,0,TRUE,0.7858339063905472
sd__site_znorm,mean,1.129700621548405e-16,0.4485861323171076,0.915315040318238,1,21,21,7,8,57,0,TRUE,0.7858339063905472
sd__site_znorm,otsu,-0.03201389611893667,0.4485861323171076,0.915315040318238,1,21,21,7,8,57,0,TRUE,0.7858339063905472
sd__raw,median,172.05,0.4479778932706478,0.915315040318238,1,21,21,7,8,57,0,TRUE,0.7856210227242862
sd__raw,gmm,176.2216314329762,0.4479778932706478,0.915315040318238,1,21,21,7,8,57,0,TRUE,0.7856210227242862
sd__lutz_global,median,1.555952380952391,0.4479778932706478,0.915315040318238,1,21,21,7,8,57,0,TRUE,0.7856210227242862
sd__lutz_global,gmm,5.727583813928582,0.4479778932706478,0.915315040318238,1,21,21,7,8,57,0,TRUE,0.7856210227242862
cv_x_negmean__product,gmm,-176.2100948074397,0.44796108136202445,0.9153150403182377,1,21,21,8,7,57,0,TRUE,0.785615138556268
PC2__pca_raw,mean,-2.6411621427924774e-15,0.44703290046125027,0.9153150403182377,1,21,21,8,7,57,0,TRUE,0.785290275240997
PC3__pca_species_norm,median,-0.031097124812195075,0.4469624416368397,0.915315040318238,1,21,21,7,8,57,0,TRUE,0.7852656146524534
PC3__pca_species_norm,mean,0,0.4469624416368397,0.915315040318238,1,21,21,7,8,57,0,TRUE,0.7852656146524534
gini_x_negmean__product,otsu,-95.18615304000001,0.4470580917242417,0.9147121828528005,1,20,22,8,7,57,0,TRUE,0.7851483778166847
gini_x_negmean__product,gmm,-96.9243483128706,0.4470580917242417,0.9147121828528005,1,20,22,8,7,57,0,TRUE,0.7851483778166847
sd_x_abscma__product,mean,41.369744298245614,0.4472299954690398,0.9129008649846284,1,19,23,7,8,57,0,TRUE,0.784755714660321
mean__species_site_znorm,median,-0.24826681679811477,0.4641683996117563,0.8888002891150057,1,18,24,4,11,57,0,TRUE,0.7846590121428662
entropy__site_znorm,mean,-1.830894110785346e-15,0.4613045802499063,0.8899149938380798,1,15,27,6,9,57,0,TRUE,0.7839353515469871
gini__species_znorm,mean,-6.038055046206992e-17,0.4571831847883692,0.8952854064776838,1,25,17,10,5,57,0,TRUE,0.7838354662953502
entropy__raw,mean,16.707170175438595,0.4610022071593508,0.8899149938380798,1,15,27,6,9,57,0,TRUE,0.7838295209652927
entropy__lutz_global,mean,-0.04669411027568977,0.4610022071593508,0.8899149938380798,1,15,27,6,9,57,0,TRUE,0.7838295209652927
median__species_znorm,median,-0.24715630652661225,0.4617096231736124,0.8888002891150057,1,18,24,4,11,57,0,TRUE,0.7837984403895157
gini_x_negmean__product,mean,-93.72922947368421,0.4425898484687204,0.9153150403182377,1,21,21,8,7,57,0,TRUE,0.7837352070436115
neg_median__raw,gmm,-402.0819607859296,0.4725440402942352,0.8722426448231455,1,15,27,11,4,57,0,TRUE,0.7834510753087687
median__raw,gmm,402.0293131112759,0.4725440402942352,0.8722426448231455,1,27,15,4,11,57,0,TRUE,0.7834510753087687
neg_median__lutz_global,gmm,-25.51410364307234,0.4725440402942352,0.8722426448231455,1,15,27,11,4,57,0,TRUE,0.7834510753087687
median__lutz_global,gmm,25.461455968418804,0.4725440402942352,0.8722426448231455,1,27,15,4,11,57,0,TRUE,0.7834510753087687
radialgradient__species_site_znorm,mean,-3.895519384649672e-17,0.4419656527607761,0.9147121828528005,1,20,22,8,7,57,0,TRUE,0.7833660241794718
neg_radgrad__species_site_znorm,mean,3.895519384649672e-17,0.4419656527607761,0.9147121828528005,1,22,20,7,8,57,0,TRUE,0.7833660241794718
sd__site_znorm,gmm,0.10251595447308537,0.441822203784471,0.9147121828528005,1,22,20,7,8,57,0,TRUE,0.783315817037765
